Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","20","Botswana","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","3963","","Official data"
"SL","Livestock Primary","20","Botswana","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","32","","Official data"
"SL","Livestock Primary","20","Botswana","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","1","Fc","Calculated data"
"SL","Livestock Primary","21","Brazil","5510","Production","21121","Meat, chicken","2018","2018","tonnes","13355000","*","Unofficial figure"
"SL","Livestock Primary","21","Brazil","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","3396","","Official data"
"SL","Livestock Primary","21","Brazil","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","3822702","","Official data"
"SL","Livestock Primary","21","Brazil","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","14","Fc","Calculated data"
"SL","Livestock Primary","27","Bulgaria","5510","Production","21121","Meat, chicken","2018","2018","tonnes","94786","","Official data"
"SL","Livestock Primary","27","Bulgaria","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","96874","","Official data"
"SL","Livestock Primary","27","Bulgaria","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","30042","","Official data"
"SL","Livestock Primary","233","Burkina Faso","5510","Production","21121","Meat, chicken","2018","2018","tonnes","47484","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","233","Burkina Faso","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","63","","Official data"
"SL","Livestock Primary","35","Cabo Verde","5510","Production","21121","Meat, chicken","2018","2018","tonnes","985","","Official data"
"SL","Livestock Primary","35","Cabo Verde","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","11803","","Official data"
"SL","Livestock Primary","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","5","Fc","Calculated data"
