Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","255","Belgium","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1147","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","58.58","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2775","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","71.93","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","586","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","30.82","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2755","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","63.97","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","120","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","12.45","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2412","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","73.24","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","544","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","35.46","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3307","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","98.82","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","614","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","36.98","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2342","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","65.89","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","398","Fc","Calculated data"
